,成交时间,成交价格,成交金额,成交量,性质
0,09:25:00,12.53,11265723,8991,卖盘
1,09:30:00,12.52,2582567,2062,卖盘
2,09:30:03,12.5,5684329,4544,卖盘
3,09:30:06,12.5,596644,477,卖盘
4,09:30:09,12.51,5283436,4226,买盘
5,09:30:12,12.51,898480,718,卖盘
6,09:30:15,12.5,619099,495,卖盘
7,09:30:18,12.5,1239751,992,卖盘
8,09:30:21,12.5,717500,574,卖盘
9,09:30:24,12.5,142426,114,买盘
10,09:30:27,12.5,2468977,1974,买盘
11,09:30:30,12.5,156217,125,买盘
12,09:30:33,12.5,560962,449,买盘
13,09:30:36,12.49,197449,158,卖盘
14,09:30:39,12.49,643279,515,卖盘
15,09:30:42,12.47,5368649,4304,卖盘
16,09:30:45,12.49,1032563,827,买盘
17,09:30:48,12.49,559679,448,卖盘
18,09:30:51,12.48,273436,219,卖盘
19,09:30:54,12.48,851160,682,卖盘
20,09:30:57,12.47,396651,318,卖盘
21,09:31:00,12.47,1773816,1422,卖盘
22,09:31:03,12.47,194605,156,卖盘
23,09:31:06,12.48,1011228,811,买盘
24,09:31:09,12.48,616173,494,买盘
25,09:31:12,12.48,615081,493,买盘
26,09:31:15,12.47,1061272,851,卖盘
27,09:31:18,12.48,535171,429,买盘
28,09:31:21,12.49,516706,414,买盘
29,09:31:24,12.48,940921,754,卖盘
30,09:31:27,12.48,1014023,812,卖盘
31,09:31:30,12.49,581873,466,买盘
32,09:31:33,12.49,129817,104,买盘
33,09:31:36,12.48,350728,281,卖盘
34,09:31:39,12.49,415705,333,买盘
35,09:31:42,12.49,258358,207,买盘
36,09:31:45,12.49,522028,418,买盘
37,09:31:48,12.48,850379,681,卖盘
38,09:31:51,12.49,714428,572,买盘
39,09:31:54,12.49,134892,108,卖盘
40,09:31:57,12.5,79953,64,买盘
41,09:32:00,12.49,92456,74,卖盘
42,09:32:03,12.5,128653,103,买盘
43,09:32:06,12.49,183640,147,卖盘
44,09:32:09,12.5,436196,349,买盘
45,09:32:12,12.49,853243,683,卖盘
46,09:32:15,12.49,2053360,1644,卖盘
47,09:32:18,12.48,686599,550,卖盘
48,09:32:21,12.47,1244147,997,卖盘
49,09:32:24,12.47,560245,449,卖盘
50,09:32:27,12.47,943441,756,卖盘
51,09:32:30,12.47,482892,387,卖盘
52,09:32:33,12.48,2995162,2400,买盘
53,09:32:36,12.48,395912,317,卖盘
54,09:32:39,12.5,267313,214,买盘
55,09:32:42,12.5,1195046,956,买盘
56,09:32:45,12.5,491318,393,卖盘
57,09:32:48,12.51,338743,271,买盘
58,09:32:51,12.5,371132,297,卖盘
59,09:32:54,12.49,301255,241,卖盘
60,09:32:57,12.5,148747,119,买盘
61,09:33:00,12.5,312502,250,卖盘
62,09:33:03,12.5,546250,437,卖盘
